facility__i_d,facility__name,address,city/_town,state,z_i_p__code,county/_parish,telephone__number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_(lowest)_to_10_(highest),patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_(lowest)_to_10_(highest),patients'_rating_of_the_facility_linear_mean_score,patients_who_reported__y_e_s_they_would__d_e_f_i_n_i_t_e_l_y_recommend_the_facility_to_family_or_friends,patients_who_reported__p_r_o_b_a_b_l_y__y_e_s_they_would_recommend_the_facility_to_family_or_friends,"patients_who_reported__n_o,_they_would_not_recommend_the_facility_to_family_or_friends",patients_recommending_the_facility_linear_mean_score,footnote,number_of__sampled__patients,number_of__completed__surveys,survey__response__rate__percent,start__date,end__date
03C0001259,TUCSON DIGESTIVE INSTITUTE LLC DBA ARIZONA DIGESTIVE INSTITUTE,7566 NORTH LA CHOLLA BLVD SUITE B,TUCSON,AZ,85741,,(520) 547-5847,95.0,4.0,1.0,97.0,89.0,9.0,2.0,94.0,82.0,15.0,3.0,93.0,79.0,19.0,2.0,92.0,,1314.0,430.0,33.0,01/01/2023,12/31/2023
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,95.0,4.0,1.0,97.0,88.0,10.0,2.0,93.0,81.0,16.0,3.0,92.0,80.0,18.0,2.0,93.0,,1166.0,206.0,18.0,01/01/2023,12/31/2023
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,99.0,1.0,0.0,99.0,94.0,5.0,1.0,97.0,92.0,7.0,1.0,96.0,91.0,8.0,1.0,96.0,,1187.0,302.0,25.0,01/01/2023,12/31/2023
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,90.0,9.0,1.0,95.0,86.0,12.0,2.0,94.0,,1043.0,307.0,29.0,01/01/2023,12/31/2023
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,88.0,10.0,2.0,95.0,89.0,10.0,1.0,96.0,,853.0,353.0,41.0,01/01/2023,12/31/2023
03C0001298,SURGICAL ELITE OF AVONDALE,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,97.0,3.0,0.0,98.0,93.0,5.0,2.0,95.0,93.0,7.0,0.0,96.0,85.0,15.0,0.0,95.0,,1398.0,270.0,19.0,01/01/2023,12/31/2023
03C0001299,THE ORTHOPEDIC SURGERY CENTER OF ARIZONA,2262 EAST ROSE GARDEN LANE,PHOENIX,AZ,85024,,(602) 424-4408,,,,,,,,,,,,,,,,,4,,,,,
03C0001302,METRO SURGERY CENTER,6790 WEST THUNDERBIRD RD,PEORIA,AZ,85268,,(623) 385-8901,98.0,1.0,1.0,99.0,90.0,8.0,2.0,94.0,89.0,8.0,3.0,95.0,88.0,11.0,1.0,95.0,,1291.0,282.0,22.0,01/01/2023,12/31/2023
03C0001305,DESERT RIDGE OUTPATIENT SURGERY CENTER,20940 NORTH TATUM BLVD SUITE 100,PHOENIX,AZ,85050,,(480) 502-4000,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,93.0,6.0,1.0,97.0,91.0,8.0,1.0,97.0,,1347.0,406.0,30.0,01/01/2023,12/31/2023
03C0001313,SOUTHWEST ENDOSCOPY CENTER,2223 EAST BASELINE ROAD,GILBERT,AZ,85234,,(000) 000-0000,96.0,3.0,1.0,98.0,90.0,8.0,2.0,94.0,87.0,11.0,2.0,94.0,84.0,14.0,2.0,94.0,,1848.0,476.0,26.0,01/01/2023,12/31/2023
03C0001347,SURGCENTER AT PARADISE VALLEY LLC DBA SURGCENTER AT PIMA CROSSING,8415 NORTH PIMA RD SUITE 190,SCOTTSDALE,AZ,85258,,(480) 800-3206,96.0,4.0,0.0,98.0,92.0,7.0,1.0,95.0,86.0,12.0,2.0,94.0,84.0,15.0,1.0,94.0,,1008.0,261.0,26.0,01/01/2023,12/31/2023
03C0001352,SURGCENTER OF DEER VALLEY LLC,19820 NORTH 7TH ST SUITE 190,PHOENIX,AZ,85024,,(602) 904-7039,96.0,3.0,1.0,98.0,86.0,11.0,3.0,92.0,84.0,13.0,3.0,93.0,80.0,18.0,2.0,92.0,2,2465.0,672.0,28.0,01/01/2023,12/31/2023
03C0001356,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,18555 NORTH 79TH AVE BUILDING C,GLENDALE,AZ,85308,,(623) 776-2500,99.0,1.0,0.0,100.0,92.0,7.0,1.0,95.0,92.0,7.0,1.0,96.0,90.0,8.0,2.0,96.0,,922.0,196.0,21.0,01/01/2023,12/31/2023
03C0001357,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,2450 EAST GUADALUPE RD SUITE 101,GILBERT,AZ,85234,,(480) 398-8456,99.0,1.0,0.0,99.0,95.0,4.0,1.0,97.0,91.0,9.0,0.0,97.0,86.0,13.0,1.0,94.0,,732.0,195.0,27.0,01/01/2023,12/31/2023
03C0001359,SURGCENTER TUCSON LLC,3935 E. FT. LOWELL RD,TUCSON,AZ,85712,,(520) 396-4420,97.0,3.0,0.0,98.0,87.0,11.0,2.0,93.0,85.0,12.0,3.0,94.0,82.0,15.0,3.0,93.0,,1230.0,529.0,43.0,01/01/2023,12/31/2023
03C0001361,SURGCENTER CAMELBACK,6245 NORTH 24TH PARKWAY SUITE 112,PHOENIX,AZ,85016,,(602) 682-7005,98.0,2.0,0.0,99.0,91.0,7.0,2.0,95.0,91.0,9.0,0.0,97.0,88.0,10.0,2.0,95.0,,998.0,299.0,30.0,01/01/2023,12/31/2023
03C0001393,ORO VALLEY SURGICAL SUITES LLC,8500 NORTH ORACLE RD SUITE 150,ORO VALLEY,AZ,85704,,(520) 462-0220,,,,,,,,,,,,,,,,,4,,,,,
03C0001395,ORTHOARIZONA SURGERY CENTER GILBERT,1675 EAST MELROSE ST SUITE 201,GILBERT,AZ,85297,,(480) 519-8100,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,93.0,6.0,1.0,97.0,92.0,7.0,1.0,97.0,,1357.0,439.0,32.0,01/01/2023,12/31/2023
03C0001408,YUMA ADVANCED SURGICAL SUITES,1030 WEST 24TH ST SUITE H,YUMA,AZ,85364,,(928) 259-7522,,,,,,,,,,,,,,,,,4,,,,,
03C0001414,WESTGATE SURGERY CENTER,7730 NORTH 99TH AVE SUITE 100,GLENDALE,AZ,85307,,(623) 888-5500,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,92.0,7.0,1.0,96.0,88.0,10.0,2.0,95.0,,1446.0,298.0,21.0,01/01/2023,12/31/2023
03C0001434,UROLOGY ASC PHOENIX DBA UROLOGIC SURGERY CENTER OF ARIZONA,1313 EAST OSBORD ROAD SUITE 170B,PHOENIX,AZ,85014,,(410) 581-1600,,,,,,,,,,,,,,,,,4,,,,,
03C0001456,UROLOGY ASC PHOENIX LLC DBA UROLOGIC SURGERY CENTER OF ARIZONA,17300 NORTH PERIMETER DRIVE SUITE 200,SCOTTSDALE,AZ,85255,,(480) 661-2662,,,,,,,,,,,,,,,,,4,,,,,
04C0001081,NATIONAL PARK ENDOSCOPY CENTER LLC DBA SOUTH CENTRAL ENDOSCOPY,124 SAWTOOTH OAK ST,HOT SPRINGS,AR,71901,,(501) 623-7800,,,,,,,,,,,,,,,,,4,,,,,
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,97.0,2.0,1.0,98.0,89.0,8.0,3.0,93.0,84.0,12.0,4.0,93.0,82.0,15.0,3.0,93.0,,607.0,185.0,30.0,01/01/2023,12/31/2023
05C0001174,MISSION AMBULATORY SURGICENTER,26730 CROWN VALLEY PARKWAY SUITE 100,MISSION VIEJO,CA,92691,,(949) 364-2201,97.0,3.0,0.0,99.0,88.0,9.0,3.0,93.0,86.0,13.0,1.0,94.0,87.0,13.0,0.0,95.0,2,1252.0,351.0,28.0,01/01/2023,12/31/2023
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,95.0,4.0,1.0,97.0,85.0,11.0,4.0,91.0,81.0,17.0,2.0,92.0,77.0,20.0,3.0,90.0,,1444.0,341.0,24.0,01/01/2023,12/31/2023
05C0001243,NEWPORT BEACH SURGERY CENTER L P,361 HOSPITAL RD.,NEWPORT BEACH,CA,92663,,(949) 631-0988,,,,,,,,,,,,,,,,,4,,,,,
05C0001321,EL MIRADOR SURGERY CENTER LLC DBA EL MIRADOR SURGERY CENTER,1180 NORTH INDIAN CANYON DR SUITE W110,PALM SPRINGS,CA,92262,,(760) 416-4600,95.0,4.0,1.0,97.0,87.0,10.0,3.0,92.0,86.0,12.0,2.0,94.0,87.0,10.0,3.0,94.0,,1282.0,375.0,29.0,01/01/2023,12/31/2023
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,98.0,2.0,0.0,99.0,90.0,8.0,2.0,94.0,87.0,11.0,2.0,94.0,82.0,17.0,1.0,93.0,,1415.0,336.0,24.0,01/01/2023,12/31/2023
05C0001481,PAIN DIAGNOSTIC & TREATMENT CENTER,2805 J ST SUITE 200,SACRAMENTO,CA,95816,,(916) 231-8755,97.0,3.0,0.0,98.0,91.0,8.0,1.0,95.0,86.0,12.0,2.0,95.0,85.0,13.0,2.0,94.0,,1938.0,592.0,31.0,01/01/2023,12/31/2023
05C0001493,NORTH STATE SURGERY CENTERS LP DBA CT ST SURGERY CENTER,2184 CT ST,REDDING,CA,96001,,(530) 225-7417,99.0,1.0,0.0,100.0,90.0,9.0,1.0,95.0,91.0,7.0,2.0,96.0,90.0,8.0,2.0,96.0,,925.0,313.0,34.0,01/01/2023,12/31/2023
05C0001505,MAGNOLIA SURGERY CENTER,14571 MAGNOLIA ST # 107,WESTMINSTER,CA,92683,,(714) 903-1390,,,,,,,,,,,,,,,,,4,,,,,
05C0001508,STOCKTON OUTPATIENT SURGERY CENTER LLC DBA AMBULATORY SURGERY CENTER OF STOCKTON,2388 NORTH CALIFORNIA ST,STOCKTON,CA,95204,,(209) 944-9100,96.0,3.0,1.0,97.0,91.0,7.0,2.0,95.0,89.0,10.0,1.0,96.0,91.0,7.0,2.0,96.0,,976.0,330.0,34.0,01/01/2023,12/31/2023
05C0001529,SANTA BARBARA SURGERY CENTER,3045 DE LA VINA ST,SANTA BARBARA,CA,93105,,(805) 569-3226,97.0,2.0,1.0,98.0,89.0,8.0,3.0,93.0,89.0,9.0,2.0,95.0,89.0,10.0,1.0,96.0,,952.0,360.0,38.0,01/01/2023,12/31/2023
05C0001534,FOLSOM OUTPATIENT SURGERY CENTER LP DBA FOLSOM SURGERY CENTER,1651 CREEKSIDE DR SUITE 100,FOLSOM,CA,95630,,(916) 673-1990,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,92.0,6.0,2.0,96.0,92.0,6.0,2.0,96.0,,879.0,264.0,30.0,01/01/2023,12/31/2023
05C0001552,SUMMIT SURGICAL,1630 EAST HERNDON AVE #100,FRESNO,CA,93720,,(559) 256-1601,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,91.0,8.0,1.0,96.0,90.0,9.0,1.0,96.0,,1602.0,464.0,29.0,01/01/2023,12/31/2023
05C0001554,SIERRA ENDOSCOPY CENTER,300 SIERRA COLLEGE DR SUITE 105,GRASS VALLEY,CA,95945,,(530) 273-3377,,,,,,,,,,,,,,,,,4,,,,,
05C0001558,PACIFIC ENDO-SURGICAL CENTER LP,3445 PACIFIC COAST HWY SUITE 120,TORRANCE,CA,90505,,(310) 326-1666,98.0,2.0,0.0,99.0,90.0,8.0,2.0,94.0,86.0,12.0,2.0,94.0,85.0,14.0,1.0,94.0,,1248.0,317.0,25.0,01/01/2023,12/31/2023
05C0001571,UNIVERSITY SURGERY CENTER,1390 E. YOSEMITE AVE. STE. B,MERCED,CA,95340,,(209) 580-3409,97.0,3.0,0.0,98.0,86.0,11.0,3.0,92.0,85.0,13.0,2.0,94.0,84.0,13.0,3.0,93.0,,1748.0,367.0,21.0,01/01/2023,12/31/2023
05C0001572,ROSEVILLE SURGERY CENTER,1420 ROSEVILLE PARKWAY SUITE 100,ROSEVILLE,CA,95661,,(916) 677-2488,95.0,4.0,1.0,97.0,90.0,8.0,2.0,94.0,79.0,16.0,5.0,91.0,77.0,19.0,4.0,90.0,,1597.0,504.0,32.0,01/01/2023,12/31/2023
05C0001596,TRESANTI SURGICAL CENTER LLC,"5201 NORRIS CANYON RD., # 100",SAN RAMON,CA,94583,,(925) 973-0605,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,94.0,6.0,0.0,97.0,93.0,6.0,1.0,97.0,,934.0,286.0,31.0,01/01/2023,12/31/2023
05C0001604,ENDOSCOPY CENTER OF SOUTH SACRAMENTO,8120 TIMBERLAKE WAY SUITE 103,SACRAMENTO,CA,95823,,(916) 681-2350,96.0,3.0,1.0,98.0,89.0,9.0,2.0,93.0,84.0,13.0,3.0,93.0,81.0,16.0,3.0,92.0,,1727.0,369.0,21.0,01/01/2023,12/31/2023
05C0001643,NORTH STATE SURGERY CENTERS DBA MERCY SURGERY CENTER,2175 ROSALINE AVE SUITE A,REDDING,CA,96001,,(530) 245-4845,98.0,2.0,0.0,99.0,90.0,9.0,1.0,94.0,89.0,9.0,2.0,95.0,88.0,10.0,2.0,95.0,,935.0,272.0,29.0,01/01/2023,12/31/2023
05C0001711,ST JOSEPH'S SURGERY CENTER,1800 NORTH CALIFORNIA ST SUITE 1,STOCKTON,CA,95204,,(209) 467-6316,95.0,5.0,0.0,97.0,89.0,8.0,3.0,93.0,84.0,12.0,4.0,93.0,84.0,14.0,2.0,94.0,,983.0,234.0,24.0,01/01/2023,12/31/2023
05C0001719,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,92.0,6.0,2.0,96.0,91.0,8.0,1.0,96.0,,2936.0,921.0,31.0,01/01/2023,12/31/2023
05C0001750,REAGAN ST SURGERY CENTER,10904 REAGAN ST,LOS ALAMITOS,CA,90720,,(562) 596-3140,98.0,2.0,0.0,99.0,88.0,10.0,2.0,93.0,89.0,9.0,2.0,95.0,85.0,12.0,3.0,93.0,,1091.0,310.0,28.0,01/01/2023,12/31/2023
05C0001756,THE ENDOSCOPY CENTER,"700 GARDEN VIEW CT., SUITE 101",ENCINITAS,CA,92024,,(760) 274-2700,98.0,2.0,0.0,99.0,90.0,8.0,2.0,94.0,87.0,11.0,2.0,94.0,87.0,12.0,1.0,95.0,,1052.0,253.0,24.0,01/01/2023,12/31/2023
05C0001757,GRASS VALLEY SURGERY CENTER,408 SIERRA COLLEGE DR,GRASS VALLEY,CA,95945,,(530) 271-2282,99.0,1.0,0.0,99.0,94.0,5.0,1.0,97.0,93.0,6.0,1.0,97.0,93.0,6.0,1.0,97.0,,866.0,357.0,41.0,01/01/2023,12/31/2023
05C0001764,SANTA CLARITA SURGERY CENTER LP,26357 MCBEAN PARKWAY SUITE 100,SANTA CLARITA,CA,91355,,(661) 799-8300,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,92.0,6.0,2.0,96.0,89.0,9.0,2.0,95.0,,1433.0,425.0,30.0,01/01/2023,12/31/2023
05C0001803,PACIFIC ENDOSCOPY AND SURGERY CENTER LLC,17815 NEWHOPE ST SUITE R,FOUNTAIN VALLEY,CA,92708,,(714) 432-8881,95.0,5.0,0.0,98.0,92.0,7.0,1.0,95.0,86.0,12.0,2.0,94.0,82.0,16.0,2.0,93.0,,1512.0,329.0,22.0,01/01/2023,12/31/2023
05C0001813,RENAISSANCE SURGERY CENTER LLC,2365 EAST FIR AVE,FRESNO,CA,93720,,(559) 797-9100,98.0,2.0,0.0,99.0,91.0,7.0,2.0,95.0,89.0,9.0,2.0,95.0,87.0,11.0,2.0,95.0,,1229.0,449.0,37.0,01/01/2023,12/31/2023
05C0001840,OASIS SURGERY CENTER LP,815 AUTO CENTER DR.,PALMDALE,CA,93551,,(661) 206-6262,99.0,1.0,0.0,99.0,90.0,8.0,2.0,94.0,95.0,5.0,0.0,97.0,94.0,5.0,1.0,97.0,,1351.0,261.0,19.0,01/01/2023,12/31/2023
05C0001842,SCRIPPS ENCINITAS SURGERY CENTER LLC,320 SANTA FE DR  SUITE LL2,ENCINITAS,CA,92024,,(760) 632-3900,97.0,2.0,1.0,98.0,92.0,7.0,1.0,95.0,89.0,9.0,2.0,95.0,89.0,10.0,1.0,96.0,,796.0,262.0,33.0,01/01/2023,12/31/2023
05C0001849,SPECIALTY SURGICAL CENTER OF THOUSAND OAKS LP,"696 HAMPSHIRE RD, SUITE 100",WESTLAKE VILLAGE,CA,91361,,(805) 413-7920,,,,,,,,,,,,,,,,,4,,,,,
05C0001860,TALBERT SURGICAL ASSOCIATES,"7677 CENTER AVE, # 104",HUNTINGTON BEACH,CA,92647,,(714) 881-8722,94.0,5.0,1.0,96.0,86.0,11.0,3.0,91.0,80.0,16.0,4.0,92.0,73.0,21.0,6.0,88.0,,2326.0,504.0,22.0,01/01/2023,12/31/2023
05C0001863,HACIENDA OUTPATIENT SURGERY CENTER LLC DBA HACIENDA SURGERY CENTER,4626 WILLOW RD SUITE 100,PLEASANTON,CA,94588,,(925) 734-6744,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,87.0,11.0,2.0,95.0,88.0,12.0,0.0,96.0,,1317.0,334.0,25.0,01/01/2023,12/31/2023
05C0001879,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,91.0,8.0,1.0,96.0,90.0,9.0,1.0,96.0,,6247.0,1585.0,25.0,01/01/2023,12/31/2023
05C0001975,HUNTINGTON AMBULATORY SURGERY CENTER,625 SOUTH FAIR OAKS AVE SUITE 380,PASADENA,CA,91105,,(626) 229-8999,,,,,,,,,,,,,,,,,4,,,,,
05C0002058,UC REGENTS UCLA DEPT OF MEDICINE PROFESSIONAL GROUP,25775 WEST MCBEAN PARKWAY SUITE 115,LOS ANGELES,CA,90095,,(661) 253-7956,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,1,14.0,2.0,14.0,01/01/2023,12/31/2023
05C0002179,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,90.0,8.0,2.0,96.0,88.0,11.0,1.0,96.0,,8530.0,1717.0,20.0,01/01/2023,12/31/2023
05C0002196,VENTANA SURGICAL CENTER LLC,18133 VENTURA BLVD SUITE 400,ADDISON,CA,91356,,(818) 668-6200,96.0,4.0,0.0,98.0,90.0,8.0,2.0,94.0,87.0,11.0,2.0,95.0,85.0,14.0,1.0,95.0,,1138.0,247.0,22.0,01/01/2023,12/31/2023
05C0002199,SURGCENTER OF SAN DIEGO DBA ADVANCED SURGERY CENTER OF NORTH COUNTY,488 EAST VALLEY PARKWAY SUITE 100,ESCONDIDO,CA,92025,,(760) 546-4386,,,,,,,,,,,,,,,,,4,,,,,
05C0002215,WEST COAST JOINT AND SPINE CENTER,8135 SARATOGA WAY,EL DORADO HILLS,CA,95762,,(000) 000-0000,97.0,3.0,0.0,98.0,91.0,8.0,1.0,95.0,91.0,8.0,1.0,96.0,91.0,7.0,2.0,96.0,,1199.0,386.0,32.0,01/01/2023,12/31/2023
05C0002282,SCRIPPS HEALTH DBA ASC JEFFERSON,2205 VISTA WAY,OCEANSIDE,CA,92054,,(000) 000-0000,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,94.0,4.0,2.0,96.0,93.0,6.0,1.0,97.0,,4022.0,981.0,24.0,01/01/2023,12/31/2023
06C0001028,KAISER PERMANENTE SURGERY CTR,2045 FRANKLIN ST,DENVER,CO,80205,,(303) 764-4420,97.0,3.0,0.0,98.0,93.0,6.0,1.0,96.0,86.0,12.0,2.0,94.0,81.0,17.0,2.0,93.0,,3824.0,1300.0,34.0,01/01/2023,12/31/2023
06C0001029,PUEBLO AMBULATORY SURGERY CENTER LLC,25 MONTEBELLO RD,PUEBLO,CO,81001,,(719) 544-1600,93.0,6.0,1.0,96.0,88.0,10.0,2.0,93.0,83.0,14.0,3.0,93.0,79.0,20.0,1.0,92.0,,714.0,207.0,29.0,01/01/2023,12/31/2023
06C0001049,ROCKY MOUNTAIN ENDOSCOPY CENTERS LLC,10001 N. WASHINGTON ST.,THORNTON,CO,80229,,(303) 205-1090,97.0,3.0,0.0,99.0,89.0,9.0,2.0,93.0,84.0,14.0,2.0,93.0,81.0,16.0,3.0,92.0,,1558.0,307.0,20.0,01/01/2023,12/31/2023
06C0001057,AUDUBON AMBULATORY SURGERY CENTER LLC,3030 N. CIR DR STE 101,COLORADO SPRINGS,CO,80909,,(719) 355-3422,98.0,2.0,0.0,99.0,89.0,10.0,1.0,94.0,89.0,10.0,1.0,95.0,86.0,13.0,1.0,95.0,,1023.0,255.0,25.0,01/01/2023,12/31/2023
06C0001058,GOLDEN RIDGE SURGERY CENTER,660 GOLDEN RIDGE RD SUITE 110,GOLDEN,CO,80401,,(303) 963-1507,97.0,3.0,0.0,99.0,93.0,6.0,1.0,96.0,90.0,8.0,2.0,95.0,88.0,11.0,1.0,96.0,,864.0,232.0,27.0,01/01/2023,12/31/2023
